slider.0,slider.1,initialValue,charities.Malaria Consortium,charities.Against Malaria Foundation,charities.Deworm the World,charities.Helen Keller International,charities.New Incentives,charities.GiveDirectly,charities.The END Fund,charities.SCI Foundation,charities.Sightsavers,charities.Village Enterprise,charities.Seva,charities.JAAGO Foundation,charities.UNICEF south africa,charities.Lola Karimova-Tillyaeva,charities.Cambodian Childrens Fund,charities.Plan vivo,charities.Gold Standard,charities.Founders Pledge Climate change fund,charities.Clean Air Task Force,charities.World Wildlife Fund,charities.Cool earth,charities.ACEs Recommended Charity Fund,charities.New Harvest,charities.Oceana,charities.Environmental Working Group,charities.Rainforest alliance,charities.Sustainable Food Trust,charities.OceanCleanup
group0,reducing long-term production,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1,0,0,1,1,0,1,0,1,-1
group0,efficiently undoing demage,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,0,0,0,-1,1,0,0,0,1
group0,provably undoing demage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,-0.5,-1,0,-0.5,-0.5,0,-0.5,-0.5,-0.5
group1,accuracy of location,33,-0.346103039,-0.187192119,0.836935166,0.182190378,0.129541863,-0.916624558,-0.346103039,-0.048442907,0.696035242,-0.916624558,0.279069767,2,2,2,2,0,0,0,0,0,0,0,0,0,-0.5,0,1,0
group1,accuracy of cause,33,-1,-1,-1,-1,-1,1.467913087,-1,-1,-1,1.467913087,-1,-1,-1,-1,-1,0,0,0,0,-0.5,0,0,0,0,0,0,0,0
group1,efficiency,34,1.346103039,1.187192119,0.163064834,0.817809622,0.870458137,-0.551288529,1.346103039,1.048442907,0.303964758,-0.551288529,0.720930233,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
